SampleNo,% unpaired,% aligned 0 times,% aligned exactly 1 time,% aligned >1 times,% overall alignment rate
1,100.00,3.75,79.94,16.32,96.25
2,100.00,3.77,79.90,16.33,96.23
3,100.00,3.65,78.66,17.69,96.35
4,100.00,3.71,78.62,17.67,96.29
5,100.00,4.87,78.68,16.45,95.13
6,100.00,4.91,78.66,16.43,95.09
7,100.00,3.76,79.94,16.30,96.24
8,100.00,3.80,79.89,16.32,96.20
9,100.00,4.25,80.80,14.95,95.75
10,100.00,4.29,80.75,14.96,95.71
11,100.00,4.49,80.54,14.97,95.51
12,100.00,4.55,80.51,14.94,95.45
13,100.00,4.17,79.75,16.09,95.83
14,100.00,4.21,79.68,16.10,95.79
15,100.00,4.69,80.54,14.78,95.31
16,100.00,4.72,80.51,14.78,95.28
